date,Factor_1,Factor_2,Is_Entry,Is_Exit
06-11-2019,1.648277225,0.236399321,1,0
07-11-2019,1.241383352,0.190785709,0,0
08-11-2019,0.330268623,0.08993757,0,1
11-11-2019,0.415727703,0.083780581,0,1
13-11-2019,0.132898591,0.065777895,0,1
14-11-2019,0.590948508,0.045891544,0,0
15-11-2019,0.458931041,0.084555639,0,1
18-11-2019,0.284025702,0.059024276,0,1
19-11-2019,0.194305785,0.045692113,0,1
20-11-2019,1.050698974,0.152624025,0,0
21-11-2019,0.606268016,0.115647028,0,0
22-11-2019,0.712189159,0.120098962,0,0
25-11-2019,0.922554109,0.136671508,0,0
26-11-2019,0.639165225,0.116015008,0,0
27-11-2019,0.022019743,0.026728806,0,1
28-11-2019,0.078049662,0.026875206,0,1
29-11-2019,0.48085581,0.019678925,0,1
02-12-2019,0.071005407,0.048066063,0,1
03-12-2019,0.688365652,0.022029101,0,0
04-12-2019,0.772391321,0.020550603,0,0
05-12-2019,0.947721507,0.034234192,0,0
06-12-2019,0.852422295,0.01787344,0,0
09-12-2019,0.404486385,0.025064761,0,1
10-12-2019,0.642329312,0.025080124,0,0
11-12-2019,1.09249317,0.069747199,0,0
12-12-2019,1.20722695,0.105193094,0,0
13-12-2019,1.025051844,0.091244701,0,0
16-12-2019,0.535952394,0.03385331,0,0
17-12-2019,0.614233177,0.040971297,0,0
18-12-2019,0.81561104,0.067654339,0,0
19-12-2019,0.975975879,0.097031412,0,0
20-12-2019,1.024564195,0.107204953,0,0
23-12-2019,0.490432418,0.040313207,0,1
24-12-2019,1.118106515,0.122266972,0,0
26-12-2019,0.939465848,0.09579626,0,0
27-12-2019,0.47385019,0.039872577,0,1
30-12-2019,0.190939166,0.005671755,0,1
31-12-2019,0.251424346,0.005878605,0,1
01-01-2020,0.218877567,0.005701341,0,1
02-01-2020,0.035973842,0.014011074,0,1
03-01-2020,0.745826523,0.060601377,0,0
06-01-2020,2.380556566,0.141724849,0,0
07-01-2020,2.114565425,0.150725813,0,0
08-01-2020,1.398437171,0.055809489,0,0
09-01-2020,0.716442701,0.022162585,0,0
10-01-2020,0.832929416,0.053316666,0,0
13-01-2020,1.167969416,0.117837935,0,0
14-01-2020,0.874681309,0.088541738,0,0
15-01-2020,0.443663651,0.024050459,0,1
16-01-2020,0.696573005,0.025915491,0,0
17-01-2020,0.399218846,0.025628095,0,1
20-01-2020,0.706601868,0.146702925,0,0
21-01-2020,1.338146969,0.2296077,1,0
22-01-2020,1.048781246,0.209567044,1,0
23-01-2020,0.08930205,0.016112681,0,1
24-01-2020,0.451734396,0.050251238,0,1
27-01-2020,0.349016389,0.038704557,0,1
28-01-2020,0.286873571,0.030951845,0,1
29-01-2020,0.042807982,0.009850779,0,1
30-01-2020,0.381473435,0.029354175,0,1
31-01-2020,0.375513232,0.022920425,0,1
01-02-2020,0.126588315,0.008651645,0,1
03-02-2020,0.052012634,0.001450451,0,1
04-02-2020,0.591275792,0.062061057,0,0
05-02-2020,0.042042395,0.008949595,0,1
06-02-2020,0.202079862,0.013803784,0,1
07-02-2020,0.327373664,0.025148315,0,1
10-02-2020,0.099401495,0.009630851,0,1
11-02-2020,0.010174601,0.001099975,0,1
12-02-2020,0.78200866,0.054338442,0,0
13-02-2020,0.348098494,0.022298558,0,1
14-02-2020,0.688993356,0.04803979,0,0
17-02-2020,0.105779168,0.011260091,0,1
18-02-2020,1.3850573,0.103871521,0,0
19-02-2020,1.516936168,0.123536734,0,0
20-02-2020,1.412131039,0.122700371,0,0
24-02-2020,1.684742373,0.149390325,0,0
25-02-2020,2.093028517,0.212738415,1,0
26-02-2020,1.58707198,0.178923102,0,0
27-02-2020,1.333418682,0.162916515,0,0
28-02-2020,1.984779783,0.250186287,1,0
02-03-2020,1.641657602,0.229807871,1,0
03-03-2020,0.901706718,0.05717249,0,0
04-03-2020,0.779200495,0.04525422,0,0
05-03-2020,0.615864709,0.019598026,0,0
06-03-2020,0.063763644,0.046673566,0,1
09-03-2020,1.670850122,0.283435293,1,0
11-03-2020,1.808199715,0.331073542,1,0
12-03-2020,0.881048139,0.213245807,0,0
13-03-2020,1.259066567,0.178406744,0,0
16-03-2020,2.139624209,0.281225106,1,0
17-03-2020,2.448654968,0.363486397,1,0
18-03-2020,1.671499581,0.318712477,1,0
19-03-2020,0.52609023,0.201234158,0,0
20-03-2020,1.289338317,0.238309913,1,0
23-03-2020,0.456594552,0.205389165,0,1
24-03-2020,0.666600853,0.230158692,0,0
25-03-2020,0.419571669,0.227697448,0,1
26-03-2020,0.370589936,0.21318243,0,1
